"set_id","set_title","trait_key","trait_name","trait_type","breakpoints","description","tier_effects","categories","guide_signal","source_url"
"set1","Beta Set","Assassin","Assassin","CLASS","3/6/9","Innate: At the start of combat Assassins leap to the farthest enemy. Assassins gain bonus Critical Strike Damage.","3: 75% Crit Damage & 5% Crit Chance | 6: 150% Crit Damage & 20% Crit Chance | 9: 225% Crit Damage & 30% Crit Chance","offense","Special combat rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Blademaster","Blademaster","CLASS","3/6/9","Blademaster attacks have a 45% chance to trigger additional attacks on-hit","3: One Additional Attack | 6: Two Additional Attacks | 9: Four Additional Attacks","special","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Brawler","Brawler","CLASS","2/4/6","Brawlers gain bonus maximum health","2: 250 Bonus Health | 4: 500 Bonus Health | 6: 900 Bonus Health","defense","Primarily statistical","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Demon","Demon","ORIGIN","2/4/6","Demon basic attacks have a 40% chance to burn 20 mana from their target and return some mana to the attacker.","2: 15 mana returned | 4: 30 mana returned | 6: 45 mana returned","offense","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Dragon","Dragon","ORIGIN","2","","2: Dragons gain 75% resistance to Magic damage","summon","Board-changing summon","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Elementalist","Elementalist","CLASS","3","Innate: Elementalists gain double mana from attacks","3: At the start of combat, summon a Golem","summon, offense","Board-changing summon","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Exile","Exile","ORIGIN","1","","1: If an Exiles has no adjacent allies at the start of combat, they gain a shield equal to 100% of their maximum Health","position, defense","Visible formation rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Glacial","Glacial","ORIGIN","2/4/6","Glacial attacks gain a chance to stun enemies for 1.5s","2: 20% Chance to Stun | 4: 33% Chance to Stun | 6: 50% Chance to Stun","special","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Guardian","Guardian","CLASS","2","","2: At the start of combat, Guardians grants +40 Armor to adjacent allies. This Armor can stack (except guardians).","position, defense","Visible formation rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Gunslinger","Gunslinger","CLASS","2/4/6","Gunslinger attacks gain a 50% chance to trigger additional attacks on-hit","2: Attack 1 extra enemies | 4: Attack 2 extra enemies | 6: Attack 4 extra enemies","special","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Hextech","Hextech","ORIGIN","2/4","When combat begins, the ally team launches and detonates a pulse bomb, temporarily disabling nearby enemy items for 5 seconds.","2: within 1 hexes | 4: within 2 hexes","position","Visible formation rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Imperial","Imperial","ORIGIN","2/4","Gain Double Damage","2: 1 Random Imperial | 4: All Imperials","choice","Special combat rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Knight","Knight","CLASS","2/4/6","All allies block damage taken","2: 15 Damage Blocked | 4: 30 Damage Blocked | 6: 60 Damage Blocked","special","Special combat rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Ninja","Ninja","ORIGIN","1/4","The Ninja Trait is only active when you have exactly 1 or all 4 Ninjas.","1: Ninja gains +50 Attack Damage and Ability Power | 4: All Ninja gain +80 Attack Damage and Ability Power","offense","Primarily statistical","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Noble","Noble","ORIGIN","3/6","+50 Armor & MR and heal 30 health on-hit","3: 1 Random Ally | 6: All Alies","defense, choice","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Phantom","Phantom","ORIGIN","2","","2: At the start of combat, curse a random enemy and set their HP to 100","choice","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Pirate","Pirate","ORIGIN","3","","3: At the end of combat against another player, gain up to 4 additional gold","economy","Non-combat or mixed economy","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Ranger","Ranger","CLASS","2/4","Rangers gain a chance to double their attack speed every 3s for the next 3s","2: 40% Chance to Double Attack Speed | 4: 70% Chance to Double Attack Speed","offense","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Robot","Robot","ORIGIN","1","","1: Robots start combat at full mana","offense","Special combat rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Shapeshifter","Shapeshifter","CLASS","3/6","Shapeshifters gain bonus maximum Health when they transform","3: 60% Bonus Maximum Heath | 6: 100% Bonus Maximum Heath","transformation, defense","Visible transformation","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Sorcerer","Sorcerer","CLASS","3/6/9","Innate: Sorcerers gain double mana from attacks. All Allies have increased Spell Power","3: +40% Spell Power | 6: +120% Spell Power | 9: +200% Spell Power","offense","Special combat rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Void","Void","ORIGIN","2/4","","2: One random void champion deals true damage this combat | 4: All your void champions deal true damage this combat","choice","Special combat rule","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Wild","Wild","ORIGIN","2/4","Attacks generate stacks of Fury (stacks up to 5 times). Each stack of Fury gives 10% Attack Speed","2: Wild Allies Only | 4: All Allies (their basic attacks can’t miss)","offense","Primarily statistical","https://lolchess.gg/synergies/set1/guide?hl=en"
"set1","Beta Set","Yordle","Yordle","ORIGIN","3/6/9","Yordles gain a chance to dodge enemy attacks","3: 30% Chance to Dodge | 6: 60% Chance to Dodge | 9: 90% Chance to Dodge","special","High-variance combat","https://lolchess.gg/synergies/set1/guide?hl=en"
"set2","Rise of the Elements","Alchemist","Alchemist","CLASS","1","","1: Innate: Alchemists ignore collision and never stop moving","special","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Assassin","Assassin","CLASS","3/6","Innate: At the start of combat, Assassins leap to the farthest enemy. Assassins gain bonus Critical Strike Damage and Chance.","3: +70% Critical Strike Damage & +10% Critical Strike Chance | 6: +210% Critical Strike Damage & +20% Critical Strike Chance","offense","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Avatar","Avatar","CLASS","1","","1: An Avatar's Origin Element is counted twice for Trait bonuses","special","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Berserker","Berserker","CLASS","3/6","Innate: At the start of combat, Berserkers leap to the nearest enemy. Berserkers have a chance to hit all units in a cone in front of them with their attacks","3: 45% Chance | 6: 100% Chance, all Berserkers +25 AD","position","High-variance combat","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Blademaster","Blademaster","CLASS","2/4/6","Blademaster Basic Attacks have a 40% chance to trigger additional attacks against their target. These additional attacks deal damage like Basic Attacks and trigger on-hit effects.","2: 1 Additional Attack | 4: 2 Additional Attacks | 6: 3 Additional Attacks","special","High-variance combat","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Crystal","Crystal","ORIGIN","2/4","Crystal Champions have a maximum amount of damage they can take from a single hit.","2: 110 Max Damage | 4: 60 Max Damage","special","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Desert","Desert","ORIGIN","2/4","Reduces each enemy's armor","2: 40% Armor reduction | 4: 100% Armor reduction","defense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Druid","Druid","CLASS","2","","2: Druids regenerate 45 health each second","defense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Electric","Electric","ORIGIN","2/3/4","Electric Champions shock nearby enemies whenever they deal or receive a critical strike","2: 80 damage | 3: 250 damage | 4: 550 damage","offense","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Forest","Woodland","ORIGIN","3/6","","3: At the start of combat, a random Woodland Champion makes a copy of themselves | 6: Woodland to clone them all.","summon, choice","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Glacial","Glacial","ORIGIN","2/4/6","Basic Attacks from Glacials have 25% chance to stun their target for 1.5 seconds, bonus Magic Damage on stun.","2: 75 bonus Magic Damage | 4: 175 bonus Magic Damage | 6: 375 bonus Magic Damage","special","High-variance combat","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Inferno","Inferno","ORIGIN","3/6/9","Inferno spell damage and critical strikes burns the ground beneath the target, dealing a percent of that spell's pre-mitigation damage as magic damage over 4 seconds","3: 70% Damage, Hexes that light on fire: 1 | 6: 150% Damage, Hexes that light on fire: 3 | 9: 250% Damage, Hexes that light on fire: 5","position, offense","Visible formation rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Light","Light","ORIGIN","3/6/9","When a Light Champion dies, all other Light Champions gain Attack Speed and are healed for 20% of their Maximum Health","3: +20% Attack Speed | 6: +30% Attack Speed | 9: +50% Attack Speed","defense, offense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Lunar","Lunar","ORIGIN","2","Moonlight transforms unit durability into a win condition for team comps that are built with drawn out battles in mind.","2: Every 7 seconds, your team gains 15% Critical Strike Chance, 15% Critical Strike Damage, and 15% Spell Power. (Stacks up to 4 times)","transformation, defense, offense","Visible transformation","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Mage","Mage","CLASS","3/6","Mages have a chance on cast to instead Doublecast","3: 50% chance | 6: 100% chance & 20 AP to all Mages","special","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Mountain","Mountain","ORIGIN","2","","2: At the start of combat, a random ally gains a 1500 health Stoneshield","defense, choice","High-variance combat","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Mystic","Mystic","CLASS","2/4","All allies gain increased Magic Resist","2: 40 Magic Resist | 4: 120 Magic Resist","defense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Ocean","Ocean","ORIGIN","2/4/6","All allies restore mana every 4 seconds","2: +10 Mana | 4: +30 Mana | 6: +60 Mana","offense","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Poison","Poison","ORIGIN","3","","3: Poison Champions apply Neurotoxin when they deal damage, increasing the target's mana cost by 33%","offense","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Predator","Predator","CLASS","3","","3: Predators instantly kill enemies they damage who are below 25% health","transformation, defense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Ranger","Ranger","CLASS","2/4/6","Every 3 seconds, Rangers have a chance to double their Attack Speed for 3 seconds.","2: 35% Chance to 2x Attack Speed | 4: 80% Chance to 2x Attack Speed | 6: 100% Chance to 2.5x Attack Speed","offense","High-variance combat","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Shadow","Shadow","ORIGIN","3/6","Shadow units deal increased damage for 6 seconds at combat start, refreshed on takedown.","3: 65% Increased Damage, Self Takedown | 6: 150% Increased Damage, Any Shadow Takedown","transformation","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Soulbound","Soulbound","CLASS","2","","2: The first Soulbound unit to die in a round will instead enter the Spirit Realm, becoming untargetable and continuing to fight as long as another Soulbound unit is alive.","special","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Steel","Steel","ORIGIN","2/3/4","Steel Champions gain damage immunity for a few seconds when they are reduced below 50% health","2: 2 seconds of immunity | 3: 3 seconds of immunity | 4: 4 seconds of immunity","transformation, defense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Summoner","Summoner","CLASS","3/6","Summoned units have increased health and duration","3: 30% increase | 6: 120% increase","summon, defense","Board-changing summon","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Warden","Warden","CLASS","2/4/6","Wardens gain increased total Armor","2: +150% Armor | 4: +300% Armor | 6: +999% Armor","defense","Primarily statistical","https://lolchess.gg/synergies/set2/guide?hl=en"
"set2","Rise of the Elements","Wind","Wind","ORIGIN","2/3/4","All allies gain dodge chance","2: 20% dodge chance | 3: 25% dodge chance | 4: 35% dodge chance","special","Special combat rule","https://lolchess.gg/synergies/set2/guide?hl=en"
"set3","Galaxies","Blademaster","Blademaster","CLASS","3/6/9","Blademasters' Basic Attacks have a chance to trigger two additional attacks against their target. These additional attacks deal damage like Basic Attacks and trigger on-hit effects.","3: 30% Chance to trigger | 6: 55% Chance to trigger | 9: 100% Chance to trigger","special","High-variance combat","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Blaster","Blaster","CLASS","2/4","Every fourth Basic Attack from a Blaster fires additional attacks at random enemies. These additional attacks deal damage like Basic Attacks, trigger on-hit effects and can critically hit.","2: 3 Additional Attacks | 4: 5 Additional Attacks","offense, choice","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Brawler","Brawler","CLASS","2/4","Brawlers gain bonus Maximum Health.","2: 350 Bonus Health | 4: 650 Bonus Health","defense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Celestial","Celestial","ORIGIN","2/4/6","All allies heal for some of the damage they deal with spells and attacks.","2: 15% Healing | 4: 35% Healing | 6: 60% Healing","special","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Chrono","Chrono","ORIGIN","2/4/6","All allies gain 15% Attack Speed every some seconds.","2: every 8 seconds | 4: every 3.5 seconds | 6: every 1.5 seconds","offense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Cybernetic","Cybernetic","ORIGIN","3/6","Cybernetic champions with at least one item gain Health and Attack Damage.","3: 350 Health and 35 Attack Damage | 6: 700 Health and 70 Attack Damage","defense, offense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","DarkStar","Dark Star","ORIGIN","3/6/9","When a Dark Star Champion dies, all other allied Dark Star Champions gain Attack Damage and Spell Power","3: Attack Damage and Spell Power +20 | 6: Attack Damage and Spell Power +25 | 9: Attack Damage and Spell Power +35","offense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Demolitionist","Demolitionist","CLASS","2","","2: Damage from Demolitionists' spellcasts stun their for 1.50 seconds. (Once per spellcast)","special","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Infiltrator","Infiltrator","CLASS","2/4/6","Innate: At the start of combat, Infiltrators move to the enemy's backline. Infiltrators gain Attack Speed for 6 seconds at the start of combat, refreshes on takedown","2: 50% Bonus Attack Speed | 4: 75% Bonus Attack Speed | 6: 120% Bonus Attack Speed","position, transformation, offense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","ManaReaver","Mana-Reaver","CLASS","2","","2: Mana-Reaver attacks increase the mana cost of their target’s next spell by 40%","offense","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
